Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Arena,Attend.,Attend./G,Made_Playoffs
NOP,25.6,36.0,46.0,38,44,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,0.264,0.365,0.557,0.517,12.5,26.9,0.20800000000000002,0.547,13.0,78.2,0.196,Smoothie King Center,635941,15511,True
LAL,30.2,33.0,49.0,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,0.259,0.38799999999999996,0.5670000000000001,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,Crypto.com Arena,764631,18650,False
WAS,25.9,35.0,47.0,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,0.252,0.35600000000000004,0.568,0.532,12.1,20.9,0.19699999999999998,0.529,10.7,76.9,0.20199999999999999,Capital One Arena,637215,15542,False
IND,26.0,25.0,57.0,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,Gainbridge Fieldhouse,588743,14360,False
SAC,25.8,30.0,52.0,28,54,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,0.525,12.5,21.3,0.203,0.551,11.9,76.0,0.17600000000000002,Golden 1 Center,577583,14087,False
DET,23.6,23.0,59.0,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.5329999999999999,0.494,12.6,23.4,0.19399999999999998,0.541,13.1,75.6,0.226,Little Caesars Arena,663556,16184,False
ORL,23.3,22.0,60.0,21,61,-8.0,0.33,-7.67,104.5,112.5,-8.0,99.2,0.223,0.41700000000000004,0.5379999999999999,0.503,13.0,19.8,0.175,0.532,11.7,77.2,0.196,Amway Center,622881,15192,False
OKC,22.4,24.0,58.0,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.5,0.223,0.419,0.53,0.49700000000000005,12.5,21.8,0.16899999999999998,0.5329999999999999,11.8,76.1,0.16899999999999998,Paycom Center,595112,14515,False
HOU,24.1,20.0,62.0,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.44799999999999995,0.565,0.534,14.5,21.7,0.20199999999999999,0.5539999999999999,12.3,74.4,0.20600000000000002,Toyota Center,638977,15585,False
POR,25.6,27.0,55.0,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.42200000000000004,0.55,0.515,13.0,22.9,0.188,0.5589999999999999,12.7,76.9,0.222,Moda Center,705608,17210,False
