Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Markieff Morris,PF,26,PHO,37,24,24.8,4.6,11.6,.397,0.6,2.1,.289,4.0,9.6,.420,.422,1.8,2.5,.717,1.2,4.1,5.2,2.4,0.9,0.5,2.4,2.8,11.6,10.8,.456,.176,.213,5.0,18.3,11.5,16.1,1.8,1.5,16.0,26.0,-1.3,0.8,-0.5,-0.029,-3.1,-0.5,-3.7,-0.4,8000000.0
Markieff Morris,PF,26,WAS,27,21,26.4,5.0,10.6,.467,0.9,2.9,.316,4.0,7.7,.524,.510,1.6,2.0,.764,1.1,4.7,5.9,1.4,0.9,0.6,1.7,3.0,12.4,14.0,.538,.275,.192,4.6,20.5,12.4,8.2,1.7,1.9,12.6,21.9,0.2,0.9,1.1,.072,-1.3,0.5,-0.9,0.2,8000000.0
Anthony Morrow,SG,30,OKC,68,6,13.6,2.0,4.9,.408,1.2,3.0,.387,0.8,1.9,.442,.527,0.4,0.6,.744,0.1,0.8,0.9,0.4,0.3,0.1,0.3,0.9,5.6,10.7,.543,.613,.117,1.2,5.8,3.6,3.7,1.2,0.4,4.6,16.9,1.4,0.5,1.9,.097,-0.1,-1.0,-1.1,0.2,3344000.0
Donatas Motiejūnas,PF,25,HOU,37,22,14.8,2.4,5.5,.439,0.4,1.5,.281,2.0,4.0,.500,.478,0.9,1.4,.642,1.0,1.9,2.9,1.1,0.5,0.1,1.2,1.9,6.2,11.3,.504,.278,.259,7.4,14.6,11.0,12.2,1.5,0.8,16.2,21.4,0.0,0.3,0.3,.026,-2.8,-1.7,-4.5,-0.3,
Timofey Mozgov,C,29,CLE,76,48,17.4,2.7,4.7,.565,0.0,0.1,.143,2.7,4.6,.574,.567,0.9,1.3,.716,1.4,3.0,4.4,0.4,0.3,0.8,0.9,2.1,6.3,14.6,.593,.019,.265,9.5,19.2,14.4,3.9,0.9,3.5,15.0,16.1,1.8,1.9,3.7,.133,-1.7,0.3,-1.4,0.2,4950000.0
Emmanuel Mudiay,PG,19,DEN,68,66,30.4,4.8,13.3,.364,1.1,3.4,.319,3.8,9.9,.379,.404,2.1,3.1,.670,0.5,2.9,3.4,5.5,1.0,0.5,3.2,2.1,12.8,9.9,.437,.256,.231,1.7,10.9,6.2,29.0,1.6,1.4,17.9,25.7,-3.3,1.2,-2.1,-0.049,-2.3,-1.9,-4.2,-1.2,3102240.0
Shabazz Muhammad,SF,23,MIN,82,0,20.5,3.9,8.3,.465,0.5,1.9,.289,3.3,6.5,.516,.498,2.3,3.0,.764,1.2,2.0,3.3,0.6,0.3,0.1,0.9,1.1,10.5,15.2,.548,.223,.355,7.0,11.4,9.2,5.2,0.7,0.3,8.2,22.8,2.6,0.2,2.7,.077,0.6,-3.1,-2.5,-0.2,2056920.0
Xavier Munford,SG,23,MEM,14,0,17.4,2.3,5.5,.416,0.6,1.6,.391,1.6,3.9,.426,.474,0.5,1.0,.500,0.2,2.0,2.2,1.6,0.9,0.2,1.1,1.8,5.7,9.9,.481,.299,.182,1.3,13.7,7.2,14.3,2.7,1.1,15.3,18.0,-0.2,0.2,0.1,.017,-3.1,0.6,-2.5,0.0,
Mike Muscala,C,24,ATL,60,0,9.4,1.3,2.5,.500,0.2,0.7,.308,1.1,1.9,.566,.539,0.5,0.7,.795,0.6,1.3,2.0,0.6,0.2,0.5,0.5,1.2,3.3,13.6,.576,.257,.257,7.5,14.9,11.3,9.1,1.1,3.8,13.8,15.5,0.7,0.9,1.6,.136,-2.1,1.2,-0.9,0.2,947276.0
Larry Nance Jr.,PF,23,LAL,63,22,20.1,2.5,4.8,.527,0.0,0.2,.100,2.5,4.6,.541,.528,0.5,0.7,.681,1.6,3.3,5.0,0.7,0.9,0.4,0.7,2.0,5.5,13.4,.544,.033,.157,8.3,18.6,13.3,5.7,2.1,1.4,11.3,12.6,1.3,0.9,2.2,.083,-1.7,0.2,-1.5,0.2,1155600.0
