Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Timofey Mozgov,C,29,CLE,13,0,5.8,0.5,1.2,.400,0.0,0.0,,0.5,1.2,.400,.400,0.2,0.3,.750,0.4,1.2,1.6,0.2,0.2,0.2,0.6,1.2,1.2,CLE,4.7,.447,.000,.267,7.9,24.5,16.3,3.7,2.1,3.8,32.3,15.1,-0.2,0.1,0.0,-0.023,-8.4,0.8,-7.6,-0.1
Xavier Munford,SG,23,MEM,4,0,22.3,2.3,7.0,.321,0.3,2.0,.125,2.0,5.0,.400,.339,0.0,0.5,.000,0.3,2.0,2.3,2.5,1.5,0.8,1.3,2.0,4.8,MEM,6.7,.329,.286,.071,1.1,12.2,5.8,19.9,3.6,3.0,14.8,17.5,-0.2,0.0,-0.2,-0.106,-4.0,1.8,-2.2,0.0
Mike Muscala,C,24,ATL,9,0,7.4,1.1,2.2,.500,0.2,0.7,.333,0.9,1.6,.571,.550,0.2,0.2,1.000,0.8,1.1,1.9,0.3,0.0,0.1,0.3,0.7,2.7,ATL,13.7,.575,.300,.100,11.8,15.3,13.6,7.4,0.0,1.3,12.6,16.0,0.1,0.0,0.2,.109,0.2,-1.0,-0.8,0.0
Lucas Nogueira,C,23,TOR,5,0,5.8,0.6,0.8,.750,0.0,0.0,,0.6,0.8,.750,.750,0.0,0.0,,0.2,1.4,1.6,0.0,0.0,0.0,0.0,0.6,1.2,TOR,11.3,.750,.000,.000,3.9,30.8,16.5,0.0,0.0,0.0,0.0,6.4,0.1,0.0,0.1,.138,-0.8,0.1,-0.7,0.0
Dirk Nowitzki,PF,37,DAL,5,5,34.0,8.2,16.6,.494,0.8,2.2,.364,7.4,14.4,.514,.518,3.2,3.4,.941,0.6,4.2,4.8,1.6,0.4,0.6,1.4,1.8,20.4,DAL,18.7,.564,.133,.205,2.0,15.0,8.2,9.5,0.6,1.5,7.2,26.6,0.3,-0.2,0.1,.034,3.2,-1.0,2.2,0.2
Kelly Olynyk,C,24,BOS,4,0,8.0,0.3,2.3,.111,0.0,0.8,.000,0.3,1.5,.167,.111,0.0,0.0,,0.5,0.5,1.0,0.8,0.3,0.0,1.0,1.3,0.5,BOS,-8.3,.111,.333,.000,6.1,7.0,6.5,14.0,1.5,0.0,30.8,17.5,-0.2,0.0,-0.2,-0.275,-12.6,-3.3,-16.0,-0.1
Zaza Pachulia,C,31,DAL,5,4,22.4,1.8,4.8,.375,0.0,0.0,,1.8,4.8,.375,.375,3.0,3.4,.882,2.0,3.4,5.4,3.2,0.6,0.2,0.4,2.6,6.6,DAL,17.2,.524,.000,.708,10.0,18.5,14.1,21.7,1.4,0.8,6.0,13.8,0.3,-0.1,0.3,.109,2.4,2.0,4.5,0.2
Tony Parker,PG,33,SAS,10,10,26.4,4.4,9.8,.449,0.4,1.6,.250,4.0,8.2,.488,.469,1.2,1.4,.857,0.1,2.1,2.2,5.3,0.6,0.2,1.8,1.5,10.4,SAS,14.3,.499,.163,.143,0.5,8.7,4.8,31.4,1.2,0.6,14.7,21.5,0.2,0.3,0.4,.080,-0.4,-0.3,-0.7,0.1
Lamar Patterson,SG,24,ATL,4,0,5.0,0.5,1.8,.286,0.3,0.8,.333,0.3,1.0,.250,.357,0.3,0.3,1.000,0.0,1.3,1.3,0.8,0.3,0.0,1.0,0.3,1.5,ATL,2.7,.403,.429,.143,0.0,25.7,13.4,22.9,2.5,0.0,35.0,25.6,-0.1,0.0,-0.1,-0.183,-7.8,0.5,-7.3,0.0
Patrick Patterson,PF,26,TOR,20,9,29.2,2.8,6.8,.404,1.1,3.5,.300,1.7,3.3,.515,.482,1.1,1.3,.846,1.5,2.4,3.9,1.2,0.4,0.5,0.9,1.6,7.7,TOR,10.1,.519,.515,.191,5.6,10.5,7.9,6.8,0.6,1.4,10.9,13.2,0.5,0.3,0.7,.061,0.4,-0.5,-0.1,0.3
