Player,Pos,Age,Tm,G,MP,FG%,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,3PAr,2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves
Gerald Madkins,SG,28,GSW,19,243,.382,20.5,.559,.059,.059,.059,.382,.441,.368,.500,.500,.000,.385,.400,.286,.667,.000,0,.133,.500,0,0
Rick Mahorn,C,39,DET,59,707,.457,8.5,1.000,.411,.240,.302,.047,.000,.457,.566,.387,.385,.333,,.695,,.039,4,,,0,0
Dan Majerle,SG,32,MIA,72,1928,.419,19.2,.328,.214,.046,.023,.046,.672,.507,.638,.350,.400,.100,.376,.685,.901,.021,8,.217,.422,0,0
Karl Malone*,PF,34,UTA,81,3030,.530,11.3,.996,.344,.101,.212,.338,.004,.531,.657,.389,.397,.528,.333,.779,.500,.034,50,.167,.000,0,0
Matt Maloney,PG,26,HOU,78,2217,.408,19.2,.410,.188,.031,.044,.147,.590,.471,.600,.222,.308,.407,.364,.416,.802,.000,0,.116,.300,0,0
Danny Manning,PF,31,PHO,70,1794,.516,9.8,.991,.304,.249,.253,.185,.009,.521,.691,.463,.403,.479,.000,.669,,.011,8,.143,.000,1,0
Stephon Marbury,PG,20,MIN,82,3112,.415,13.8,.754,.399,.112,.086,.156,.246,.448,.508,.331,.421,.394,.313,.292,.495,.007,7,.115,.371,7,0
Donyell Marshall,SF,24,GSW,73,2611,.414,12.9,.816,.261,.186,.123,.246,.184,.436,.701,.330,.246,.332,.313,.608,.952,.072,77,.244,.286,0,0
Darrick Martin,PG,26,LAC,82,2299,.377,16.4,.599,.271,.114,.078,.136,.401,.384,.515,.277,.263,.283,.365,.089,.533,.000,0,.048,.286,1,0
Jamal Mashburn,SF,25,MIA,48,1729,.435,12.6,.789,.258,.231,.133,.166,.211,.470,.604,.368,.403,.458,.303,.523,.973,.019,11,.352,.326,0,0
Anthony Mason,PF,31,CHH,81,3148,.509,7.5,.995,.470,.283,.213,.029,.005,.512,.630,.389,.411,.545,.000,.478,,.039,29,.250,.000,1,0
Tony Massenburg,C,30,VAN,61,894,.479,7.0,1.000,.333,.417,.181,.068,.000,.479,.670,.403,.304,.476,,.601,,.123,35,,,0,0
Vernon Maxwell,SG,32,TOT,42,636,.399,16.8,.566,.252,.066,.078,.171,.434,.452,.692,.235,.250,.273,.330,.621,.892,.004,1,.143,.375,0,0
Vernon Maxwell,SG,32,ORL,11,169,.333,15.9,.667,.295,.077,.090,.205,.333,.385,.609,.333,.143,.188,.231,.550,1.000,.013,1,.192,.200,0,0
