Player,Pos,Age,Tm,G,MP,FG%,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,3PAr,2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves
Dana Barros,PG,31,BOS,50,1156,.453,17.5,.569,.170,.065,.073,.261,.431,.493,.603,.250,.259,.546,.400,.404,.875,.000,0,.075,.417,0,0
Brent Barry,SG,27,CHI,37,1181,.396,17.3,.517,.213,.084,.073,.146,.483,.484,.658,.300,.231,.462,.302,.483,.981,.037,12,.169,.276,1,0
Drew Barry,SG,25,SEA,17,183,.313,22.2,.250,.031,.031,.063,.125,.750,.250,.000,.000,.000,.500,.333,.500,.875,.000,0,.125,.000,0,0
Jon Barry,SG,29,SAC,43,736,.428,18.5,.428,.188,.022,.087,.130,.572,.593,.808,.667,.167,.556,.304,.429,.792,.029,4,.215,.294,0,0
Tony Battie,C,22,BOS,50,1121,.519,8.5,.989,.304,.269,.304,.113,.011,.525,.744,.461,.419,.375,.000,.565,,.138,38,.000,,0,0
Corey Beck,PG,27,TOT,24,180,.462,12.1,.974,.205,.205,.205,.359,.026,.447,.625,.375,.375,.429,1.000,.529,.000,.026,1,.000,,0,0
Corey Beck,PG,27,DET,8,30,.500,15.2,1.000,.125,.125,.250,.500,.000,.500,.000,1.000,1.000,.250,,.750,,.000,0,,,0,0
Corey Beck,PG,27,CHH,16,150,.452,11.3,.968,.226,.226,.194,.323,.032,.433,.714,.286,.167,.500,1.000,.462,.000,.032,1,.000,,0,0
Benoit Benjamin,C,34,PHI,6,33,.286,6.3,1.000,.143,.714,.143,.000,.000,.286,1.000,.000,1.000,,,.000,,.000,0,,,0,0
Corey Benjamin,PG,20,CHI,31,320,.376,12.8,.880,.316,.154,.188,.222,.120,.398,.595,.167,.409,.269,.214,.610,.667,.094,10,.071,1.000,0,0
Mario Bennett,PF,25,CHI,3,19,.333,6.3,1.000,.667,.333,.000,.000,.000,.333,.500,.000,,,,.500,,.167,0,,,0,0
Travis Best,PG,26,IND,49,1043,.416,15.5,.807,.187,.108,.118,.393,.193,.427,.509,.333,.361,.433,.373,.200,.591,.000,0,.085,.000,0,0
Mike Bibby,PG,20,VAN,50,1758,.430,14.7,.878,.155,.152,.139,.431,.122,.461,.638,.315,.381,.475,.203,.331,.800,.005,3,.081,.167,3,0
Chauncey Billups*,SG,22,DEN,45,1488,.386,17.7,.525,.265,.063,.059,.139,.475,.408,.458,.258,.241,.449,.362,.330,.671,.002,1,.200,.447,0,0
Mookie Blaylock,PG,31,ATL,48,1763,.379,18.1,.614,.160,.048,.108,.300,.386,.425,.577,.258,.300,.415,.307,.159,.506,.000,0,.112,.464,3,0
Corie Blount,PF,30,TOT,34,530,.360,6.4,.990,.610,.210,.090,.080,.010,.364,.443,.286,.222,.125,.000,.833,,.140,11,.000,,0,0
Corie Blount,PF,30,LAL,14,162,.394,9.1,.970,.515,.303,.091,.061,.030,.406,.529,.300,.000,.500,.000,.846,,.152,4,.000,,0,0
Corie Blount,PF,30,CLE,20,368,.343,5.0,1.000,.657,.164,.090,.090,.000,.343,.409,.273,.333,.000,,.826,,.134,7,,,0,0
Muggsy Bogues,PG,34,GSW,36,714,.494,14.7,.961,.104,.104,.201,.552,.039,.514,.750,.188,.484,.541,.000,.566,,.000,0,.000,,0,0
Etdrick Bohannon,SF,25,WAS,2,4,,,,,,,,,,,,,,,,,,0,,,0,0
Keith Booth,SF,24,CHI,39,432,.325,11.8,.934,.384,.159,.179,.212,.066,.340,.466,.083,.296,.344,.100,.604,.000,.040,5,.000,,0,0
Bruce Bowen,SF,27,BOS,30,494,.280,14.3,.720,.172,.226,.097,.226,.280,.284,.313,.381,.111,.238,.269,.684,1.000,.011,1,.462,.250,0,0
Earl Boykins,PG,22,TOT,22,221,.380,14.7,.772,.177,.152,.190,.253,.228,.443,.571,.167,.467,.500,.167,.296,1.000,.000,0,.167,.333,0,0
Earl Boykins,PG,22,NJN,5,51,.476,15.2,.762,.286,.000,.048,.429,.238,.563,.833,,.000,.444,.200,.333,1.000,.000,0,.200,.000,0,0
Earl Boykins,PG,22,CLE,17,170,.345,14.5,.776,.138,.207,.241,.190,.224,.400,.375,.167,.500,.545,.154,.278,1.000,.000,0,.154,.500,0,0
Shawn Bradley,C,26,DAL,49,1294,.480,8.9,.989,.394,.302,.187,.109,.011,.485,.569,.448,.400,.421,.000,.593,,.075,24,.000,,1,0
Terrell Brandon,PG,28,TOT,36,1217,.418,16.0,.907,.160,.045,.158,.544,.093,.435,.667,.261,.338,.409,.255,.285,.750,.000,0,.064,.000,1,0
Terrell Brandon,PG,28,MIL,15,505,.409,15.7,.865,.154,.043,.202,.466,.135,.433,.719,.222,.381,.381,.250,.231,.857,.000,0,.107,.000,0,0
Terrell Brandon,PG,28,MIN,21,712,.425,16.2,.936,.164,.047,.127,.599,.064,.436,.633,.286,.289,.425,.263,.320,.600,.000,0,.000,,1,0
Chucky Brown,PF,30,CHH,48,1192,.472,14.8,.893,.142,.091,.188,.472,.107,.483,.792,.471,.443,.409,.375,.888,.867,.051,18,.150,.167,0,0
Dee Brown,PG,30,TOR,49,1377,.378,21.6,.295,.073,.010,.034,.178,.705,.356,.583,.000,.118,.330,.387,.615,.785,.002,1,.235,.415,0,0
Gerald Brown,SG,23,PHO,33,236,.371,13.7,.888,.213,.169,.146,.360,.112,.380,.579,.267,.231,.375,.300,.300,.667,.011,1,.200,.000,0,0
P.J. Brown,PF,29,MIA,50,1611,.480,11.5,1.000,.237,.161,.287,.314,.000,.480,.611,.377,.431,.480,,.860,,.052,24,,,0,0
Randy Brown,PG,30,CHI,39,1139,.414,13.0,.969,.295,.094,.166,.414,.031,.427,.521,.267,.264,.462,.000,.705,,.019,6,.000,,0,0
Rick Brunson,PG,26,NYK,17,95,.286,12.1,.762,.524,.048,.143,.048,.238,.375,.455,.000,.333,.000,.000,.333,,.000,0,.400,.000,0,0
Kobe Bryant*,SG,20,LAL,50,1896,.465,13.1,.870,.250,.136,.226,.258,.130,.494,.738,.443,.392,.373,.267,.388,.704,.073,53,.040,.500,1,0
Mark Bryant,PF,33,CHI,45,1204,.483,8.7,.997,.244,.391,.305,.057,.003,.484,.647,.434,.434,.400,.000,.631,,.014,5,.000,,0,0
Jud Buechler,SF,30,DET,50,1056,.417,21.3,.383,.067,.025,.054,.238,.617,.424,.813,.333,.231,.368,.412,.744,.984,.017,4,.236,.457,0,0
Matt Bullard,PF,31,HOU,41,413,.377,19.6,.456,.105,.053,.061,.237,.544,.365,.500,.500,.286,.296,.387,.632,1.000,.018,2,.177,.364,0,0
Scott Burrell,SF,28,NJN,32,706,.361,17.6,.654,.168,.072,.072,.341,.346,.346,.571,.200,.200,.296,.389,.638,.893,.029,6,.222,.625,1,0
Willie Burton,SF,30,CHH,3,18,.143,9.1,.857,.286,.429,.143,.000,.143,.167,.500,.000,.000,,.000,1.000,,.000,0,1.000,.000,0,0
Mitchell Butler,SG,28,CLE,31,418,.482,12.5,.791,.309,.173,.094,.216,.209,.509,.721,.292,.462,.400,.379,.554,1.000,.043,6,.690,.450,3,0
Jason Caffey,PF,25,GSW,35,876,.444,7.5,.996,.375,.354,.224,.043,.004,.446,.663,.306,.290,.500,.000,.642,,.126,29,.000,,0,0
Marcus Camby,C,24,NYK,46,945,.521,6.3,1.000,.575,.318,.073,.034,.000,.521,.693,.313,.158,.333,,.662,,.195,48,,,0,0
Elden Campbell,C,30,TOT,49,1459,.477,7.8,.998,.284,.449,.219,.043,.002,.478,.614,.378,.529,.400,.000,.698,,.088,32,.000,,0,0
Elden Campbell,C,30,LAL,17,325,.436,8.1,1.000,.416,.356,.168,.059,.000,.436,.548,.306,.412,.500,,.500,,.129,9,,,0,0
Elden Campbell,C,30,CHH,32,1134,.489,7.7,.997,.247,.475,.234,.038,.003,.490,.644,.393,.553,.357,.000,.747,,.077,23,.000,,0,0
Antoine Carr,PF,37,HOU,18,152,.404,12.2,.981,.077,.288,.288,.327,.019,.412,.250,.400,.333,.529,.000,.619,,.019,0,1.000,.000,0,0
Chris Carr,SG,24,TOT,39,445,.371,16.6,.634,.161,.127,.127,.220,.366,.369,.515,.269,.308,.356,.373,.479,.929,.044,9,.160,.583,0,0
Chris Carr,SG,24,MIN,11,81,.346,17.7,.654,.038,.077,.269,.269,.346,.353,1.000,.000,.286,.429,.333,.500,1.000,.038,1,.111,1.000,0,0
Chris Carr,SG,24,NJN,28,364,.374,16.4,.631,.179,.134,.106,.212,.369,.372,.500,.292,.316,.342,.379,.476,.920,.045,8,.167,.545,0,0
Cory Carr,SG,23,CHI,42,624,.329,14.4,.861,.222,.144,.194,.301,.139,.355,.500,.323,.333,.277,.167,.545,1.000,.009,2,.033,.000,0,0
Vince Carter*,SF,22,TOR,50,1760,.450,11.7,.914,.258,.225,.213,.218,.086,.466,.601,.477,.337,.419,.288,.564,.842,.097,69,.121,.375,2,0
Sam Cassell,PG,29,TOT,8,199,.419,13.0,.892,.194,.194,.226,.280,.108,.446,.556,.500,.476,.308,.200,.162,.500,.000,0,.000,,0,0
Sam Cassell,PG,29,NJN,4,100,.429,12.9,.857,.143,.245,.245,.224,.143,.476,.857,.500,.417,.273,.143,.150,.000,.000,0,.000,,0,0
Sam Cassell,PG,29,MIL,4,99,.409,13.0,.932,.250,.136,.205,.341,.068,.415,.364,.500,.556,.333,.333,.176,1.000,.000,0,.000,,0,0
Kelvin Cato,C,24,POR,43,545,.450,8.4,.992,.465,.279,.109,.140,.008,.445,.683,.278,.143,.222,1.000,.737,1.000,.248,27,.000,,0,0
Duane Causwell,C,30,MIA,19,137,.571,7.5,1.000,.371,.400,.171,.057,.000,.571,.692,.714,.167,.000,,.500,,.200,7,,,0,0
Cedric Ceballos,SF,29,DAL,13,352,.421,13.0,.800,.329,.150,.086,.236,.200,.429,.652,.286,.167,.303,.393,.500,1.000,.050,7,.393,.364,0,0
Rex Chapman,SG,31,PHO,38,1183,.359,17.3,.671,.124,.083,.144,.320,.329,.364,.596,.263,.333,.313,.351,.759,.906,.007,3,.272,.341,0,0
Calbert Cheaney,SG,27,WAS,50,1266,.414,13.2,.911,.142,.186,.200,.383,.089,.434,.644,.312,.373,.447,.216,.720,1.000,.029,12,.351,.308,0,0
Pete Chilcutt,PF,30,VAN,46,697,.366,19.0,.605,.070,.058,.064,.413,.395,.356,.667,.300,.273,.324,.382,.811,.962,.012,2,.074,.200,0,0
Chris Childs,PG,31,NYK,48,1297,.427,17.5,.648,.187,.056,.101,.303,.352,.451,.500,.400,.296,.481,.383,.397,.722,.000,0,.053,.400,1,1
Doug Christie,SG,28,TOR,50,1768,.388,14.8,.752,.242,.120,.157,.234,.248,.415,.497,.269,.363,.441,.304,.567,.980,.038,20,.360,.293,2,0
Keon Clark,C,23,DEN,28,409,.450,7.9,.988,.625,.213,.100,.050,.013,.456,.600,.294,.125,.000,.000,.778,,.288,17,.000,,1,0
Keith Closs,C,22,LAC,15,87,.522,7.7,.957,.478,.217,.174,.087,.043,.545,.818,.600,.000,.000,.000,.833,,.130,3,1.000,.000,0,0
John Coker,C,27,WAS,14,98,.419,8.6,1.000,.194,.452,.226,.129,.000,.419,.500,.429,.429,.250,,.462,,.000,0,,,0,0
Derrick Coleman,PF,31,CHH,37,1178,.414,10.3,.919,.273,.283,.261,.101,.081,.432,.667,.322,.330,.366,.212,.671,.857,.076,29,.030,.000,2,0
Bimbo Coles,PG,30,GSW,48,1272,.442,13.8,.940,.176,.126,.246,.391,.060,.455,.534,.327,.402,.494,.240,.463,.667,.002,0,.200,.200,2,0
Marty Conlon,C,31,MIA,7,35,.231,13.8,1.000,.231,.077,.077,.615,.000,.231,.333,.000,.000,.250,,1.000,,.000,0,,,0,0
Tyrone Corbin,SF,36,ATL,47,1066,.391,17.7,.645,.152,.060,.084,.346,.355,.431,.667,.300,.357,.371,.319,.774,1.000,.000,0,.059,.143,0,0
James Cotton,SG,23,SEA,10,59,.333,11.3,.833,.389,.167,.111,.167,.167,.400,.429,.333,.000,.667,.000,.333,,.056,1,.000,,0,0
Chris Crawford,PF,23,ATL,42,784,.431,10.6,.871,.318,.278,.145,.129,.129,.446,.630,.268,.378,.455,.333,.475,.909,.078,19,.121,.250,0,0
Austin Croshere,PF,23,IND,27,249,.427,14.6,.613,.280,.093,.040,.200,.387,.522,.524,.714,.000,.533,.276,.458,1.000,.027,2,.586,.294,0,0
John Crotty,PG,29,TOT,27,382,.411,15.3,.710,.226,.145,.121,.218,.290,.420,.571,.278,.133,.519,.389,.405,.714,.000,0,.028,.000,0,0
John Crotty,PG,29,POR,3,19,.500,11.6,.875,.250,.125,.375,.125,.125,.429,1.000,.000,.333,.000,1.000,.333,1.000,.000,0,.000,,0,0
John Crotty,PG,29,SEA,24,363,.405,15.5,.698,.224,.147,.103,.224,.302,.420,.538,.294,.083,.538,.371,.412,.692,.000,0,.029,.000,0,0
Terry Cummings,PF,37,GSW,50,1011,.439,11.6,.998,.200,.200,.323,.274,.002,.437,.541,.376,.380,.474,1.000,.605,1.000,.012,4,.000,,0,0
William Cunningham,C,24,TOT,16,162,.167,9.4,1.000,.333,.333,.222,.111,.000,.167,.333,.000,.250,.000,,1.000,,.056,1,,,0,0
William Cunningham,C,24,TOR,1,1,,,,,,,,,,,,,,,,,,0,,,0,0
William Cunningham,C,24,NJN,15,161,.167,9.4,1.000,.333,.333,.222,.111,.000,.167,.333,.000,.250,.000,,1.000,,.056,1,,,0,0
Bill Curley,PF,26,MIN,35,372,.403,12.6,.931,.250,.208,.139,.333,.069,.418,.556,.400,.100,.458,.200,.821,1.000,.014,1,.000,,1,0
Dell Curry,SG,34,MIL,42,864,.485,19.1,.568,.071,.063,.110,.324,.432,.492,.458,.381,.486,.523,.476,.691,.913,.003,0,.359,.365,0,0
Michael Curry,SF,30,MIL,50,1146,.437,13.9,.927,.233,.083,.170,.442,.073,.466,.646,.529,.257,.440,.067,.775,1.000,.049,10,.200,.000,0,0
Erick Dampier,C,23,GSW,50,1414,.389,6.6,1.000,.321,.517,.147,.014,.000,.389,.624,.271,.328,.000,,.602,,.109,40,,,0,0
Antonio Daniels,PG,23,SAS,47,614,.454,11.7,.907,.311,.169,.148,.279,.093,.470,.614,.355,.481,.373,.294,.385,.800,.087,13,.059,1.000,0,0
Kornél Dávid,SF,27,CHI,50,902,.449,11.1,.996,.399,.144,.111,.342,.004,.450,.567,.343,.333,.398,.000,.651,,.070,14,.000,,0,0
Antonio Davis,PF,30,IND,49,1271,.471,7.4,1.000,.374,.316,.178,.132,.000,.471,.662,.327,.339,.457,,.665,,.138,47,,,0,0
Ben Davis,PF,26,NYK,8,21,.412,6.4,1.000,.588,.176,.118,.118,.000,.412,.500,.333,.000,.500,,.857,,.118,2,,,0,0
Dale Davis,PF,29,IND,50,1374,.533,4.8,1.000,.596,.278,.116,.010,.000,.533,.689,.286,.343,.333,,.584,,.205,59,,,0,0
Hubert Davis,SG,28,DAL,50,1378,.438,19.1,.637,.071,.073,.086,.408,.363,.431,.464,.379,.412,.438,.451,.394,.877,.000,0,.063,.444,0,0
Mark Davis,SF,25,MIA,4,35,.333,8.8,1.000,.500,.333,.000,.167,.000,.333,.667,.000,,.000,,1.000,,.000,0,,,0,0
Ricky Davis,SG,19,CHH,46,557,.405,11.4,.940,.385,.080,.210,.265,.060,.420,.597,.188,.286,.340,.167,.557,1.000,.100,18,.000,,0,0
Terry Davis,C,31,WAS,37,578,.533,4.4,1.000,.543,.380,.043,.033,.000,.533,.740,.257,.500,.333,,.673,,.033,3,,,0,0
Andrew DeClercq,C,25,TOT,47,1102,.500,5.9,1.000,.612,.279,.091,.018,.000,.500,.598,.351,.320,.400,,.761,,.120,28,,,0,0
Andrew DeClercq,C,25,BOS,14,258,.491,5.7,1.000,.702,.228,.053,.018,.000,.491,.575,.308,.333,.000,,.750,,.140,7,,,0,0
Andrew DeClercq,C,25,CLE,33,844,.502,5.9,1.000,.589,.292,.100,.018,.000,.502,.605,.359,.318,.500,,.764,,.114,21,,,0,0
Terry Dehere,SG-PG,27,TOT,26,291,.365,19.1,.541,.106,.047,.059,.329,.459,.326,.778,.250,.000,.250,.410,.467,.688,.000,0,.385,.467,0,0
Terry Dehere,PG,27,SAC,4,20,.364,18.3,.545,.182,.000,.000,.364,.455,.500,1.000,,,.250,.200,.000,.000,.000,0,.400,.000,0,0
Terry Dehere,SG,27,VAN,22,271,.365,19.2,.541,.095,.054,.068,.324,.459,.300,.714,.250,.000,.250,.441,.583,.733,.000,0,.382,.538,0,0
Vinny Del Negro,PG,32,MIL,48,1093,.422,15.1,.889,.126,.085,.311,.367,.111,.421,.500,.261,.333,.505,.433,.475,.692,.000,0,.133,.250,0,0
Bison Dele,C,29,DET,49,1177,.501,7.6,.998,.383,.318,.265,.032,.002,.502,.691,.409,.368,.286,.000,.699,,.125,50,1.000,.000,0,0
Tony Delk,PG,25,GSW,36,630,.364,15.9,.739,.170,.123,.162,.285,.261,.406,.465,.355,.341,.431,.242,.474,.750,.000,0,.076,.200,3,0
Michael Dickerson,SG,23,HOU,50,1558,.465,14.9,.645,.335,.080,.063,.167,.355,.483,.626,.216,.310,.390,.433,.660,.972,.043,20,.238,.333,0,0
Vlade Divac*,C,30,SAC,50,1761,.470,10.2,.923,.348,.289,.084,.201,.077,.488,.655,.391,.404,.375,.256,.538,.818,.038,20,.116,.200,1,0
Michael Doleac,C,21,ORL,49,780,.468,11.5,1.000,.199,.210,.281,.311,.000,.468,.698,.429,.333,.470,,.760,,.049,12,,,0,0
Sherman Douglas,PG,32,LAC,30,842,.438,11.5,.950,.416,.137,.110,.288,.050,.462,.615,.433,.417,.270,.000,.302,,.000,0,.091,.000,0,0
Bryce Drew,PG,24,HOU,34,441,.364,16.1,.620,.163,.155,.124,.178,.380,.388,.619,.300,.313,.304,.327,.419,.875,.000,0,.143,.429,0,0
Chris Dudley,C,33,NYK,46,685,.440,6.6,1.000,.450,.523,.028,.000,.000,.440,.633,.281,.333,,,.708,,.101,10,,,0,0
Joe Dumars*,SG,35,DET,38,1116,.411,21.3,.369,.009,.029,.163,.169,.631,.426,1.000,.600,.368,.424,.403,.364,.910,.000,0,.090,.450,0,0
Tim Duncan*,PF,22,SAS,50,1963,.495,7.8,.992,.304,.372,.220,.096,.008,.498,.669,.446,.349,.494,.143,.604,1.000,.104,88,.143,1.000,2,0
Blue Edwards,SF,33,MIA,24,283,.444,15.3,.861,.236,.069,.083,.472,.139,.452,.706,.400,.333,.353,.400,.750,.750,.028,2,.200,.500,0,0
Howard Eisley,PG,26,UTA,50,1038,.446,13.9,.841,.232,.162,.172,.274,.159,.451,.589,.255,.444,.453,.420,.479,.619,.000,0,.100,.800,0,0
Mario Elie,SG,35,SAS,47,1291,.471,13.0,.677,.372,.139,.045,.121,.323,.518,.634,.391,.333,.375,.374,.681,.950,.030,10,.271,.448,0,0
Sean Elliott,SF,30,SAS,50,1509,.410,14.0,.765,.250,.124,.093,.298,.235,.436,.551,.413,.255,.404,.328,.592,1.000,.065,31,.697,.398,0,0
Dale Ellis,SF,38,SEA,48,1232,.441,19.6,.451,.089,.058,.051,.253,.549,.449,.629,.478,.350,.400,.433,.813,.968,.000,0,.309,.448,0,0
LaPhonso Ellis,PF,28,ATL,20,539,.421,12.8,.974,.205,.163,.237,.368,.026,.427,.667,.290,.311,.429,.200,.696,1.000,.047,9,.000,,1,0
Brian Evans,SF,25,TOT,16,145,.295,19.2,.705,.045,.114,.091,.455,.295,.290,.500,.200,.250,.300,.308,.667,1.000,.000,0,.231,.000,1,0
Brian Evans,SF,25,NJN,11,121,.324,19.6,.676,.029,.059,.118,.471,.324,.304,.000,.000,.250,.375,.364,.714,1.000,.000,0,.182,.000,0,0
Brian Evans,SF,25,MIN,5,24,.200,17.5,.800,.100,.300,.000,.400,.200,.250,1.000,.333,,.000,.000,.500,,.000,0,.500,.000,1,0
Patrick Ewing*,C,36,NYK,38,1300,.435,8.7,.996,.234,.421,.254,.088,.004,.436,.654,.347,.382,.440,.000,.644,,.037,19,.000,,0,0
Jamie Feick,PF-C,24,TOT,28,852,.500,8.3,1.000,.500,.276,.030,.194,.000,.500,.657,.351,.500,.308,,.597,,.067,9,,,0,0
Jamie Feick,C,24,MIL,2,3,.000,19.0,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,,.000,0,,,0,0
Jamie Feick,PF,24,NJN,26,849,.504,8.2,1.000,.504,.278,.030,.188,.000,.504,.657,.351,.500,.320,,.597,,.068,9,,,0,0
Duane Ferrell,SF,33,GSW,8,46,.071,13.4,1.000,.286,.143,.214,.357,.000,.071,.250,.000,.000,.000,,1.000,,.000,0,,,0,0
Danny Ferry,PF,32,CLE,50,1058,.476,18.2,.672,.017,.091,.162,.402,.328,.518,.400,.556,.438,.546,.392,.767,1.000,.000,0,.289,.429,0,0
Michael Finley,SF,25,DAL,50,2051,.444,13.8,.845,.242,.140,.160,.303,.155,.465,.618,.431,.393,.396,.331,.448,.933,.061,50,.257,.400,2,0
Derek Fisher,PG,24,LAL,50,1131,.376,17.0,.631,.240,.129,.053,.209,.369,.367,.397,.353,.357,.345,.392,.295,.579,.008,1,.144,.357,2,0
Danny Fortson,PF,22,DEN,50,1417,.495,7.4,.992,.583,.249,.101,.060,.008,.499,.587,.385,.333,.391,.000,.555,,.034,12,.000,,1,0
Greg Foster,PF,30,UTA,42,458,.377,14.5,.971,.152,.138,.159,.522,.029,.381,.667,.211,.318,.361,.250,.686,1.000,.014,2,.000,,0,0
Rick Fox,SF,29,LAL,44,944,.448,15.1,.712,.245,.127,.115,.224,.288,.494,.617,.357,.395,.486,.337,.603,.875,.009,3,.316,.400,0,0
Adonal Foyle,C,23,GSW,44,614,.430,5.8,1.000,.471,.471,.058,.000,.000,.430,.579,.316,.143,,,.442,,.066,7,,,0,0
Todd Fuller,C,24,UTA,42,462,.452,9.8,1.000,.403,.202,.177,.218,.000,.452,.660,.200,.318,.407,,.750,,.065,7,,,0,0
Lawrence Funderburke,PF,28,SAC,47,936,.559,8.5,.983,.455,.211,.124,.194,.017,.565,.757,.413,.324,.431,.200,.693,1.000,.177,50,.000,,1,0
Kevin Garnett*,PF,22,MIN,47,1780,.460,11.9,.984,.193,.224,.268,.299,.016,.463,.672,.376,.411,.439,.286,.729,1.000,.083,72,.000,,3,0
Marlon Garnett,PG,23,BOS,24,205,.294,18.2,.549,.216,.039,.039,.255,.451,.321,.364,.500,.000,.308,.261,.333,1.000,.000,0,.261,.333,1,0
Dean Garrett,C,32,MIN,49,1054,.502,10.0,1.000,.260,.247,.359,.134,.000,.502,.617,.439,.434,.581,,.716,,.065,14,,,0,0
Pat Garrity,PF,22,PHO,39,538,.500,13.1,.894,.282,.106,.188,.318,.106,.513,.688,.278,.500,.444,.389,.821,1.000,.041,5,.389,.714,0,0
Chris Gatling,C,31,TOT,48,775,.442,9.7,.970,.249,.343,.196,.181,.030,.451,.697,.407,.288,.375,.125,.543,1.000,.068,16,.500,.250,1,0
Chris Gatling,C,31,NJN,18,281,.371,10.6,.990,.196,.320,.196,.278,.010,.375,.632,.258,.263,.407,.000,.556,,.041,4,.000,,0,0
Chris Gatling,C,31,MIL,30,494,.482,9.1,.958,.280,.357,.196,.125,.042,.497,.723,.483,.303,.333,.143,.538,1.000,.083,12,.571,.250,1,0
