Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,0-3%,3-10%,10-16%,16-3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves,Cluster
Serge Ibaka,PF,27,ORL,56,56,30.5,6.1,12.6,0.488,1.5,3.8,0.388,4.6,8.7,0.532,0.547,1.4,1.6,0.846,1.8,5.0,6.8,1.1,0.6,1.6,1.2,2.5,15.1,17.5,0.569,0.304,0.129,6.2,18.5,12.2,5.9,1.0,4.3,8.2,20.8,2.1,1.7,3.8,0.108,0.9,-0.2,0.7,1.2,12250000.0,14.5,0.696,0.171,0.189,0.168,0.168,0.725,0.496,0.449,0.458,0.673,0.976,0.048,32,0.061,0.231,0,0,3
DeMarcus Cousins,C,26,SAC,55,55,34.4,9.2,20.3,0.452,1.7,4.9,0.356,7.5,15.5,0.482,0.494,7.7,10.0,0.77,2.1,8.5,10.6,4.8,1.4,1.3,3.8,3.7,27.8,26.5,0.562,0.239,0.491,7.1,28.3,17.8,27.4,2.0,3.6,13.2,37.5,3.4,2.6,6.0,0.153,5.6,1.6,7.2,4.4,16957900.0,11.5,0.761,0.327,0.227,0.058,0.147,0.615,0.406,0.277,0.39,0.424,0.884,0.059,56,0.041,0.273,4,0,2
Bojan Bogdanović,SF,27,BRK,55,54,26.9,4.9,11.1,0.44,1.8,5.0,0.357,3.1,6.1,0.509,0.521,2.7,3.0,0.874,0.4,3.2,3.6,1.6,0.4,0.1,1.7,1.8,14.2,13.0,0.572,0.453,0.273,1.7,12.3,7.0,10.1,0.8,0.2,12.0,22.5,1.0,0.6,1.6,0.052,-0.5,-2.1,-2.6,-0.2,0.0,14.6,0.547,0.319,0.092,0.074,0.062,0.61,0.411,0.289,0.395,0.488,0.929,0.028,14,0.235,0.446,0,0,3
Langston Galloway,PG,25,NOP,55,0,20.4,3.0,8.0,0.374,1.8,4.9,0.377,1.2,3.1,0.37,0.489,0.7,0.9,0.769,0.4,1.8,2.2,1.2,0.7,0.1,0.5,1.4,8.6,11.2,0.508,0.608,0.118,1.9,9.6,5.7,8.8,1.7,0.4,5.7,19.5,0.2,1.0,1.2,0.052,-1.2,-0.2,-1.5,0.1,5200000.0,20.8,0.392,0.095,0.05,0.05,0.2,0.5,0.182,0.364,0.352,0.453,0.901,0.0,0,0.149,0.4,2,0,1
Avery Bradley,SG,26,BOS,55,55,33.4,6.5,14.1,0.463,2.0,5.0,0.39,4.6,9.1,0.504,0.533,1.2,1.7,0.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3,14.4,0.548,0.357,0.12,4.0,16.2,10.1,11.0,1.8,0.5,9.7,21.9,1.1,2.0,3.1,0.081,0.0,-0.5,-0.6,0.7,8269663.0,15.1,0.643,0.27,0.076,0.066,0.231,0.622,0.356,0.529,0.408,0.614,0.815,0.031,23,0.296,0.39,1,0,3
Taj Gibson,PF,31,CHI,55,55,27.3,5.0,9.6,0.521,0.0,0.2,0.167,5.0,9.4,0.529,0.523,1.5,2.2,0.714,2.2,4.8,6.9,1.1,0.5,0.9,1.4,2.2,11.6,15.4,0.549,0.023,0.225,8.5,19.0,13.7,6.5,0.9,2.6,11.7,19.2,1.4,1.9,3.3,0.104,-1.0,-0.2,-1.2,0.3,8950000.0,7.0,0.977,0.419,0.287,0.14,0.13,0.68,0.454,0.405,0.348,0.664,1.0,0.085,43,0.917,0.182,0,0,4
Emmanuel Mudiay,PG,20,DEN,55,41,25.6,3.8,10.0,0.377,1.0,3.2,0.315,2.8,6.8,0.408,0.428,2.4,3.0,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11.0,10.9,0.483,0.323,0.303,2.3,11.6,7.0,21.8,1.4,0.7,16.5,22.6,-0.4,0.5,0.2,0.006,-1.6,-1.6,-3.2,-0.4,3241800.0,12.6,0.677,0.363,0.113,0.111,0.094,0.505,0.29,0.262,0.327,0.368,0.911,0.025,12,0.208,0.297,1,0,1
Pascal Siakam,PF,22,TOR,55,38,15.6,1.9,3.7,0.502,0.0,0.1,0.143,1.9,3.6,0.515,0.505,0.4,0.6,0.688,1.2,2.2,3.4,0.3,0.5,0.8,0.6,2.0,4.2,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.4,1.2,1.6,0.089,-3.0,0.7,-2.4,-0.1,1196040.0,7.0,0.966,0.463,0.249,0.112,0.141,0.6,0.49,0.304,0.448,0.667,1.0,0.093,17,0.571,0.0,0,0,4
Shelvin Mack,PG,26,UTA,55,9,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1.0,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,10.9,0.518,0.315,0.202,2.0,9.8,6.0,20.4,1.8,0.2,17.8,19.6,-0.1,1.5,1.4,0.054,-2.5,0.2,-2.3,-0.1,2433334.0,13.3,0.685,0.239,0.184,0.165,0.1,0.637,0.443,0.444,0.421,0.316,0.649,0.0,0,0.242,0.241,0,0,1
Terrence Ross,SF,25,TOR,54,0,22.4,3.9,8.9,0.441,1.8,4.7,0.375,2.1,4.1,0.516,0.541,0.8,0.9,0.82,0.3,2.3,2.6,0.8,1.0,0.4,0.6,1.5,10.4,14.9,0.558,0.534,0.104,1.3,11.6,6.5,5.9,2.2,1.4,6.2,19.8,1.6,1.3,2.9,0.116,1.1,0.2,1.2,1.0,10000000.0,18.9,0.466,0.115,0.081,0.106,0.159,0.673,0.538,0.431,0.461,0.435,0.823,0.052,22,0.242,0.387,2,0,1
